page,page_number,region_id,region_role,reading_order_start,reading_order_end,child_box_ids,bbox,quality_score,needs_review,review_reasons,suggested_actions,merge_reasons,text_preview
page_0014,14,page_0014_region_004,content_block,11,13,page_0014_raw_0159|page_0014_raw_0151|page_0014_raw_0163,"(333, 1519, 1292, 1747)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0015,15,page_0015_region_001,section_header,1,1,page_0015_raw_0185,"(384, 33, 407, 94)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,start_region,
page_0015,15,page_0015_region_002,content_block,2,3,page_0015_raw_0167|page_0015_raw_0166,"(358, 240, 1322, 410)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0015,15,page_0015_region_003,content_block,4,5,page_0015_raw_0169|page_0015_raw_0164,"(352, 420, 1318, 659)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0015,15,page_0015_region_004,content_block,6,11,page_0015_raw_0170|page_0015_raw_0175|page_0015_raw_0184|page_0015_raw_0179|page_0015_raw_0181|page_0015_raw_0182,"(349, 681, 1308, 957)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0015,15,page_0015_region_005,content_block,12,17,page_0015_raw_0172|page_0015_raw_0176|page_0015_raw_0180|page_0015_raw_0177|page_0015_raw_0183|page_0015_raw_0178,"(336, 984, 1301, 1278)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0015,15,page_0015_region_006,content_block,18,19,page_0015_raw_0174|page_0015_raw_0165,"(335, 1296, 1301, 1531)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0015,15,page_0015_region_007,body_text,21,21,page_0015_raw_0173,"(330, 1619, 1288, 1730)",1.0,False,,,new_region_at_layout_boundary,
page_0016,16,page_0016_region_001,body_text,1,6,page_0016_raw_0199|page_0016_raw_0200|page_0016_raw_0198|page_0016_raw_0202|page_0016_raw_0192|page_0016_raw_0201,"(337, 224, 1305, 650)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,start_region|body_continuation,
page_0016,16,page_0016_region_002,content_block,7,7,page_0016_raw_0193,"(760, 675, 899, 708)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0016,16,page_0016_region_003,body_text,8,15,page_0016_raw_0203|page_0016_raw_0191|page_0016_raw_0204|page_0016_raw_0189|page_0016_raw_0195|page_0016_raw_0197|page_0016_raw_0196|page_0016_raw_0194,"(349, 731, 1320, 1460)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,new_region_after_gap_or_column_change|body_continuation,
page_0016,16,page_0016_region_004,content_block,16,16,page_0016_raw_0188,"(773, 1182, 909, 1214)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0016,16,page_0016_region_005,content_block,17,18,page_0016_raw_0190|page_0016_raw_0186,"(365, 1484, 1335, 1714)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0017,17,page_0017_region_001,content_block,1,3,page_0017_raw_0210|page_0017_raw_0205|page_0017_raw_0206,"(376, 252, 1337, 658)",1.0,False,,,start_region|title_followed_by_body|body_continuation,
page_0017,17,page_0017_region_002,body_text,4,4,page_0017_raw_0211,"(725, 727, 988, 1099)",1.0,False,,,new_region_after_gap_or_column_change,
page_0017,17,page_0017_region_003,content_block,5,7,page_0017_raw_0214|page_0017_raw_0215|page_0017_raw_0208,"(374, 842, 1335, 1489)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0017,17,page_0017_region_004,content_block,8,10,page_0017_raw_0212|page_0017_raw_0209|page_0017_raw_0213,"(375, 1512, 1334, 1723)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
