page,label,cls_id,score,x1,y1,x2,y2,width,height
page_0005,text,2,0.9473426342010498,348.08612060546875,376.7778625488281,1315.2525634765625,539.839111328125,967.1664428710938,163.06124877929688
page_0005,image,1,0.7945266962051392,703.7478637695312,616.8074340820312,957.2951049804688,785.7208862304688,253.5472412109375,168.9134521484375
page_0005,number,3,0.7656030058860779,826.0073852539062,1756.238525390625,839.0655517578125,1773.559814453125,13.05816650390625,17.3212890625
page_0005,text,2,0.674835205078125,348.8464050292969,878.5021362304688,1320.5634765625,1727.5440673828125,971.7170715332031,849.0419311523438
page_0005,figure_title,6,0.6277923583984375,775.98486328125,812.9429931640625,888.63623046875,844.8617553710938,112.6513671875,31.91876220703125
page_0005,text,2,0.5617988705635071,507.0320129394531,239.1172332763672,1310.29150390625,281.08355712890625,803.2594909667969,41.96632385253906
page_0005,paragraph_title,0,0.5005205869674683,774.3712158203125,312.27825927734375,888.7955322265625,345.0370178222656,114.42431640625,32.758758544921875
page_0005,text,2,0.33730772137641907,351.31170654296875,1067.8046875,1316.668212890625,1165.270263671875,965.3565063476562,97.465576171875
page_0005,text,2,0.31942471861839294,760.6941528320312,879.2697143554688,1241.09765625,926.3027954101562,480.40350341796875,47.0330810546875
page_0005,text,2,0.31078100204467773,351.6888427734375,1180.4373779296875,1313.148681640625,1280.16943359375,961.4598388671875,99.7320556640625
page_0005,text,2,0.3040336072444916,351.3987121582031,949.0562133789062,1316.8570556640625,1056.289306640625,965.4583435058594,107.23309326171875
page_0006,text,2,0.8278083801269531,759.3450317382812,1601.225341796875,887.4336547851562,1627.52490234375,128.088623046875,26.299560546875
page_0006,number,3,0.7796631455421448,815.3919067382812,1749.455322265625,829.2412719726562,1769.679443359375,13.849365234375,20.22412109375
page_0006,text,2,0.7276723384857178,343.9239501953125,1129.3443603515625,1309.2344970703125,1233.6153564453125,965.310546875,104.27099609375
page_0006,paragraph_title,0,0.6253847479820251,767.0867919921875,1069.3868408203125,883.2439575195312,1099.0274658203125,116.15716552734375,29.640625
page_0006,paragraph_title,0,0.5686819553375244,767.80810546875,1270.3577880859375,882.4208374023438,1300.6771240234375,114.61273193359375,30.3193359375
page_0006,text,2,0.5052178502082825,344.1585388183594,1448.36376953125,1302.695556640625,1555.6138916015625,958.5370178222656,107.2501220703125
page_0006,text,2,0.4843575656414032,346.5801086425781,1327.43701171875,1302.120849609375,1433.3828125,955.5407409667969,105.94580078125
page_0006,text,2,0.4292970299720764,345.2239685058594,732.2164916992188,1312.358642578125,834.7723999023438,967.1346740722656,102.555908203125
page_0006,text,2,0.4064708948135376,469.45257568359375,863.4592895507812,1312.55615234375,906.3921508789062,843.1035766601562,42.932861328125
page_0006,text,2,0.4000002145767212,344.04852294921875,238.13624572753906,1315.9940185546875,1040.8843994140625,971.9454956054688,802.7481536865234
page_0006,text,2,0.37641772627830505,347.2840270996094,608.5082397460938,1311.769287109375,713.2850341796875,964.4852600097656,104.77679443359375
page_0006,text,2,0.3543204069137573,346.1846923828125,933.9161376953125,1307.231201171875,1038.8228759765625,961.0465087890625,104.90673828125
page_0006,text,2,0.319975882768631,846.4302368164062,489.7655334472656,1311.572021484375,530.3146362304688,465.14178466796875,40.549102783203125
page_0006,text,2,0.3101541996002197,965.22509765625,427.09979248046875,1313.9820556640625,467.56988525390625,348.7569580078125,40.4700927734375
page_0006,text,2,0.29998818039894104,982.5523681640625,302.76641845703125,1313.7379150390625,343.5204162597656,331.185546875,40.753997802734375
page_0006,text,2,0.28363633155822754,1008.6130981445312,549.8257446289062,1309.5643310546875,593.282470703125,300.95123291015625,43.45672607421875
page_0006,text,2,0.280702143907547,1091.081298828125,240.88046264648438,1313.6014404296875,281.5936279296875,222.5201416015625,40.713165283203125
page_0006,text,2,0.27915018796920776,634.487060546875,998.4442138671875,1255.086181640625,1038.358642578125,620.59912109375,39.9144287109375
page_0006,text,2,0.2714522182941437,344.4969787597656,1326.68994140625,1303.79150390625,1557.79541015625,959.2945251464844,231.10546875
page_0006,text,2,0.25341182947158813,966.3529052734375,366.601318359375,1313.413330078125,410.1731872558594,347.0604248046875,43.571868896484375
page_0007,text,2,0.9373977184295654,344.8779602050781,1116.8271484375,1311.8985595703125,1474.1697998046875,967.0205993652344,357.3426513671875
page_0007,text,2,0.9300873875617981,342.7779846191406,1561.3651123046875,1308.6368408203125,1735.11865234375,965.8588562011719,173.7535400390625
page_0007,number,3,0.7969633936882019,810.5433959960938,1761.5611572265625,829.1685791015625,1783.6431884765625,18.62518310546875,22.08203125
page_0007,text,2,0.6368142366409302,350.462890625,686.3175659179688,1310.134521484375,1087.568603515625,959.671630859375,401.25103759765625
page_0007,paragraph_title,0,0.5600416660308838,758.35888671875,1502.703125,894.3799438476562,1533.419921875,136.02105712890625,30.716796875
page_0007,header,12,0.5241960883140564,674.864501953125,252.8584442138672,994.8690185546875,320.1474304199219,320.0045166015625,67.28898620605469
page_0007,text,2,0.5036161541938782,528.582763671875,465.3366394042969,1143.72412109375,647.9646606445312,615.141357421875,182.62802124023438
page_0007,text,2,0.39594942331314087,782.2125244140625,361.23211669921875,894.8741455078125,407.3251953125,112.66162109375,46.09307861328125
page_0007,text,2,0.37645769119262695,779.695068359375,614.2236328125,892.1517944335938,646.5555419921875,112.45672607421875,32.3319091796875
page_0007,figure_title,6,0.30073025822639465,763.7221069335938,1055.852783203125,898.819580078125,1087.7373046875,135.09747314453125,31.884521484375
page_0007,text,2,0.27084240317344666,736.2821044921875,464.5035095214844,934.9208984375,514.5670166015625,198.6387939453125,50.063507080078125
page_0008,text,2,0.9272584915161133,332.7552490234375,308.6134948730469,1298.52978515625,411.8905334472656,965.7745361328125,103.27703857421875
page_0008,text,2,0.8924367427825928,341.42254638671875,896.443115234375,1306.4375,999.361572265625,965.0149536132812,102.91845703125
page_0008,text,2,0.820382833480835,335.2660827636719,509.4017639160156,1294.26513671875,674.766845703125,958.9990539550781,165.36508178710938
page_0008,paragraph_title,0,0.7683437466621399,750.6141357421875,450.3058166503906,885.4780883789062,482.5140686035156,134.86395263671875,32.208251953125
page_0008,text,2,0.7679678201675415,337.77337646484375,694.9037475585938,1297.62060546875,796.9212646484375,959.8472290039062,102.01751708984375
page_0008,paragraph_title,0,0.7641247510910034,755.2356567382812,834.896240234375,889.213623046875,864.8284912109375,133.97796630859375,29.9322509765625
page_0008,number,3,0.7560209631919861,822.4650268554688,1759.912841796875,840.464111328125,1784.0604248046875,17.99908447265625,24.1475830078125
page_0008,paragraph_title,0,0.7263544797897339,749.062255859375,249.84512329101562,882.6889038085938,280.37188720703125,133.62664794921875,30.526763916015625
page_0008,text,2,0.7070149183273315,347.2207336425781,1474.75048828125,1270.9276123046875,1712.3895263671875,923.7068786621094,237.6390380859375
page_0008,text,2,0.7004379034042358,370.0896301269531,1090.435302734375,1234.1602783203125,1139.522705078125,864.0706481933594,49.08740234375
page_0008,paragraph_title,0,0.6018073558807373,757.4192504882812,1031.029296875,893.4866333007812,1061.8670654296875,136.0673828125,30.8377685546875
page_0008,text,2,0.5998273491859436,539.4364624023438,1415.61279296875,1306.17529296875,1462.626708984375,766.7388305664062,47.013916015625
page_0008,paragraph_title,0,0.5657481551170349,736.2998046875,1277.546630859375,916.5830078125,1321.1527099609375,180.283203125,43.6060791015625
page_0008,paragraph_title,0,0.5558823943138123,762.4742431640625,1356.762939453125,897.1558227539062,1389.298828125,134.68157958984375,32.535888671875
page_0008,paragraph_title,0,0.49097755551338196,723.09375,1196.6483154296875,927.271728515625,1248.3216552734375,204.177978515625,51.67333984375
page_0008,text,2,0.30938446521759033,369.15765380859375,1031.6749267578125,1234.619140625,1140.7379150390625,865.4614868164062,109.06298828125
page_0008,text,2,0.3062170147895813,351.0448303222656,1664.3948974609375,1219.1298828125,1713.8404541015625,868.0850524902344,49.445556640625
page_0008,text,2,0.2633571922779083,335.486328125,507.4849853515625,1297.5341796875,799.4799194335938,962.0478515625,291.99493408203125
page_0008,text,2,0.25375160574913025,827.5472412109375,754.3265380859375,1256.3663330078125,798.0739135742188,428.819091796875,43.74737548828125
page_0009,number,3,0.776057779788971,817.0003051757812,1762.0230712890625,830.1212158203125,1783.9058837890625,13.12091064453125,21.8828125
page_0009,paragraph_title,0,0.6964437365531921,766.3001708984375,832.1744995117188,903.0701904296875,862.1812744140625,136.77001953125,30.00677490234375
page_0009,text,2,0.6734103560447693,347.8906555175781,892.1602783203125,1319.0546875,998.4425659179688,971.1640319824219,106.28228759765625
page_0009,paragraph_title,0,0.6606019735336304,763.7102661132812,1227.68994140625,899.7230224609375,1258.786865234375,136.01275634765625,31.096923828125
page_0009,paragraph_title,0,0.6417863368988037,765.2939453125,1031.5157470703125,900.6732788085938,1062.7684326171875,135.37933349609375,31.252685546875
page_0009,text,2,0.5950726866722107,348.8262023925781,1092.7161865234375,1314.5133056640625,1198.994384765625,965.6871032714844,106.2781982421875
page_0009,text,2,0.5505973100662231,352.9505615234375,570.1968994140625,1313.788330078125,680.0543212890625,960.8377685546875,109.857421875
page_0009,text,2,0.5073592066764832,354.8838806152344,239.9945831298828,1229.7147216796875,354.8539733886719,874.8308410644531,114.85939025878906
page_0009,text,2,0.5020557641983032,353.0793151855469,372.54168701171875,1275.1400146484375,548.9786376953125,922.0606994628906,176.43695068359375
page_0009,formula,7,0.48242008686065674,345.13104248046875,1291.156494140625,1307.6793212890625,1528.6434326171875,962.5482788085938,237.4869384765625
